Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1/5/2011,29,17,23,-5.5,42,0,0,0,0
1/6/2011,30,17,23.5,-4.9,41,0,0.02,2.2,0
1/7/2011,24,19,21.5,-6.9,43,0,0.01,1.4,3
1/8/2011,20,15,17.5,-10.8,47,0,0.03,0.9,3
1/9/2011,24,11,17.5,-10.8,47,0,T,T,2
1/10/2011,26,8,17,-11.2,48,0,T,T,2
1/11/2011,27,16,21.5,-6.7,43,0,0.16,3.5,2
1/12/2011,24,20,22,-6.2,43,0,0.03,3,7
1/13/2011,23,18,20.5,-7.7,44,0,T,1.3,8
1/14/2011,25,19,22,-6.1,43,0,0.02,0.5,7
1/15/2011,36,23,29.5,1.4,35,0,T,T,6
1/16/2011,26,17,21.5,-6.6,43,0,T,0.9,5
1/17/2011,32,12,22,-6.2,43,0,0.01,T,5
1/18/2011,44,31,37.5,9.3,27,0,0.1,T,5
1/19/2011,36,27,31.5,3.3,33,0,0.01,0.3,2
1/20/2011,27,20,23.5,-4.7,41,0,0.28,5.1,2
1/21/2011,23,5,14,-14.3,51,0,0.03,0.8,6
1/22/2011,19,-1,9,-19.3,56,0,T,T,6
1/23/2011,18,3,10.5,-17.8,54,0,T,0.2,5
1/24/2011,30,0,15,-13.4,50,0,0.01,0.1,5
1/25/2011,36,30,33,4.6,32,0,0.03,0.3,4
1/26/2011,34,26,30,1.5,35,0,0.02,0.4,4
1/27/2011,29,25,27,-1.6,38,0,0.04,1.1,4
1/28/2011,30,24,27,-1.7,38,0,0.04,1,6
1/29/2011,33,23,28,-0.7,37,0,0.03,0.7,5
1/30/2011,30,18,24,-4.8,41,0,0.03,0.4,7
1/31/2011,32,9,20.5,-8.4,44,0,T,T,6
2/1/2011,37,30,33.5,4.5,31,0,0.45,T,6
2/2/2011,49,20,34.5,5.4,30,0,0.14,0.6,3
2/3/2011,28,14,21,-8.2,44,0,T,T,2
2/4/2011,34,16,25,-4.3,40,0,0,0,1
2/5/2011,37,26,31.5,2,33,0,0.07,0.4,1
2/6/2011,32,28,30,0.4,35,0,T,T,1
2/7/2011,37,29,33,3.3,32,0,0.42,1.8,1
2/8/2011,29,7,18,-11.9,47,0,0.04,1.1,3
2/9/2011,22,7,14.5,-15.5,50,0,0,0,3
2/10/2011,20,5,12.5,-17.7,52,0,T,T,3
2/11/2011,33,11,22,-8.3,43,0,0,0,2
2/12/2011,36,25,30.5,0,34,0,0.06,0.6,2
2/13/2011,50,28,39,8.4,26,0,0,0,1
2/14/2011,50,28,39,8.2,26,0,T,T,1
2/15/2011,37,20,28.5,-2.5,36,0,0,0,T
2/16/2011,54,28,41,9.8,24,0,0,0,0
2/17/2011,64,45,54.5,23.1,10,0,0,0,0
2/18/2011,66,43,54.5,22.9,10,0,0,0,0
2/19/2011,43,26,34.5,2.7,30,0,0,0,0
2/20/2011,37,18,27.5,-4.6,37,0,0.12,0.6,0
2/21/2011,35,23,29,-3.3,36,0,1.19,7.9,0
2/22/2011,33,18,25.5,-7,39,0,0.06,0.7,9
2/23/2011,36,25,30.5,-2.3,34,0,0,0,6
2/24/2011,41,23,32,-1,33,0,0.22,0,M
2/25/2011,36,25,30.5,-2.8,34,0,0.81,M,M
2/26/2011,37,21,29,-4.6,36,0,0,0,1
2/27/2011,56,34,45,11.2,20,0,0.18,0,0
2/28/2011,62,25,43.5,9.4,21,0,1.21,0,0
3/1/2011,43,20,31.5,-2.9,33,0,0,0,0
3/2/2011,45,21,33,-1.7,32,0,0,0,0
3/3/2011,38,16,27,-8,38,0,0,0,0
3/4/2011,56,34,45,9.7,20,0,0.27,0,0
3/5/2011,53,45,49,13.4,16,0,0.45,0,0
3/6/2011,51,28,39.5,3.6,25,0,0.58,0.8,0
3/7/2011,41,20,30.5,-5.8,34,0,0,0,0
3/8/2011,50,28,39,2.4,26,0,0,0,0
3/9/2011,45,33,39,2.1,26,0,0.56,T,0
3/10/2011,52,33,42.5,5.2,22,0,1.23,0.9,0
